Vehicle2Name	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	v_X	v_Y	v_Z	av_X	av_Y	av_Z	a_X	a_Y	a_Z	aa_X	aa_Y	aa_Z	thrust0	torque0	speed0	thrust1	torque1	speed1	thrust2	torque2	speed2	thrust3	torque3	speed3	ImageImageFile	ctes	Theta_e
SimpleFlight	0.0	0.029399	-3.49346	-30.415	0.97424	0.198581	-0.0895054	0.0584075	0.20637199999999997	0.495939	0.08119069999999999	0.787131	-0.35692399999999996	1.04467	1.7367	4.55844	-0.652656	-11.0301	2.88338	4.07717	4.17945	-0.0555622	669.857	3.89321	-0.051756899999999995	646.513	1.75115	0.023280000000000002	433.595	1.92901	0.025644599999999997	455.083	img_SimpleFlight__0_1627900441167205600.png	3.4803842097480304	1.2550077100374213
SimpleFlight	0.111	0.0639019	-3.40786	-30.4116	0.962809	0.210326	-0.11450199999999999	0.125105	0.42242799999999997	1.06364	-0.0331671	-0.00181567	-0.109023	1.4503	2.1255599999999997	5.49825	-1.43236	-4.08943	1.84513	3.2339599999999997	4.17945	-0.0555622	669.857	3.89321	-0.051756899999999995	646.513	1.75115	0.023280000000000002	433.595	1.92901	0.025644599999999997	455.083	img_SimpleFlight__0_1627900441377057500.png	3.3923410196464867	1.2712863345728
SimpleFlight	0.255	0.148093	-3.1964799999999998	-30.435	0.94409	0.18036	-0.141678	0.23683600000000002	0.7556649999999999	1.8745599999999998	-0.318229	-0.36467	0.069717	1.8419	2.4963	5.61332	-2.50936	-0.777642	1.27452	2.21435	4.17945	-0.0555622	669.857	4.08668	-0.054328999999999995	662.382	2.63857	0.0350776	532.24	2.62509	0.0348984	530.879	img_SimpleFlight__0_1627900441634025300.png	3.1750070760676454	1.2661465079291443
SimpleFlight	0.411	0.298225	-2.8376200000000003	-30.5197	0.903589	0.12023299999999999	-0.16514	0.37656300000000004	1.18488	2.71446	-0.807696	-0.52766	0.22485500000000003	2.05967	2.60283	4.31372	-1.7857299999999998	1.4841600000000001	-8.43628	-1.59895	4.17945	-0.0555622	669.857	4.11132	-0.054656500000000004	664.3760000000001	3.13132	0.0416282	579.811	3.1252299999999997	0.0415472	579.247	img_SimpleFlight__0_1627900441892570900.png	2.8054741007243624	1.2377597190589231
SimpleFlight	0.54	0.466683	-2.4643900000000003	-30.6079	0.8604809999999999	0.06164580000000001	-0.185042	0.47067200000000003	1.4262	3.0461	-0.518849	-0.759785	0.32066	1.33405	2.04914	2.21673	2.38911	-5.52391	3.19137	-7.4029	0.76379	-0.0101539	286.358	0.428964	-0.00570271	214.602	3.61396	0.0480445	622.895	3.4926	0.046431099999999996	612.346	img_SimpleFlight__0_1627900442119858800.png	2.4201775819070264	1.2114462964974426
SimpleFlight	0.702	0.727731	-1.9465299999999999	-30.6613	0.841693	-0.0458339	-0.18264	0.506058	1.8257	3.31474	-0.168648	-1.3619999999999999	1.19075	0.167423	3.2700400000000003	0.9858690000000001	1.05732	-2.2893	7.3653	-6.00411	0.228253	-0.00303443	156.542	1.07467e-07	-1.4286799999999999e-09	0.10741400000000001	4.17945	0.0555622	669.857	4.13903	0.0550249	666.6110000000001	img_SimpleFlight__0_1627900442415230600.png	1.8834323814384257	1.14589254444644
SimpleFlight	0.798	0.9194450000000001	-1.62635	-30.674	0.850208	-0.12742799999999999	-0.15795399999999998	0.485756	2.1821900000000003	3.3274800000000004	-0.112178	-0.862283	1.13913	-0.371504	4.08718	-0.707741	0.10843299999999999	5.44188	-4.24236	-5.33967	0.853667	-0.0113488	302.738	0.9312469999999999	-0.0123801	316.195	4.17945	0.0555622	669.857	3.9911	0.05305830000000001	654.59	img_SimpleFlight__0_1627900442639150100.png	1.549197682445385	1.0688883801615099
SimpleFlight	0.96	1.32925	-1.10648	-30.6959	0.8818239999999999	-0.184365	-0.126851	0.415096	2.8874400000000002	3.03657	-0.18926600000000002	-0.226375	0.641493	-1.12934	4.48983	-2.7194	-1.07085	1.6412799999999999	-1.37258	-3.99904	1.9516900000000001	-0.0259461	457.751	2.0132	-0.026763799999999997	464.908	4.15908	0.0552914	668.2230000000001	4.17945	0.0555622	669.857	img_SimpleFlight__0_1627900442860181100.png	0.9987773384327944	0.8891064905389925
SimpleFlight	1.053	1.6171799999999998	-0.83706	-30.7191	0.907042	-0.19411099999999998	-0.11704500000000001	0.35481799999999997	3.30385	2.74471	-0.32105900000000004	-0.111677	0.539617	-1.46546	4.43709	-3.5293	-1.7583	0.74797	-0.7667109999999999	-3.2371	1.9516900000000001	-0.0259461	457.751	2.0132	-0.026763799999999997	464.908	4.15908	0.0552914	668.2230000000001	4.17945	0.0555622	669.857	img_SimpleFlight__0_1627900443041613900.png	0.9273570587566184	0.9288377534532639
SimpleFlight	1.152	1.9657200000000001	-0.583833	-30.7606	0.9342729999999999	-0.196812	-0.11089600000000001	0.275863	3.7334400000000003	2.3593	-0.5292640000000001	-0.06739210000000001	0.48311899999999997	-1.7562200000000001	4.2056	-4.24916	-2.44918	-0.285265	-0.0781976	-2.48021	2.47703	-0.0329301	515.69	2.47828	-0.032946699999999995	515.82	4.15639	0.055255700000000005	668.007	4.17945	0.0555622	669.857	img_SimpleFlight__0_1627900443216368400.png	0.5997616938057384	0.799191839257557
