Vehicle2Name	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	v_X	v_Y	v_Z	av_X	av_Y	av_Z	a_X	a_Y	a_Z	aa_X	aa_Y	aa_Z	thrust0	torque0	speed0	thrust1	torque1	speed1	thrust2	torque2	speed2	thrust3	torque3	speed3	ImageImageFile	ctes	Theta_e
SimpleFlight	0.846	0.5707899999999999	2.03655	-30.7086	0.803187	0.0117999	-0.175819	-0.569068	1.37939	-3.6624199999999996	-0.031182400000000002	0.7687649999999999	0.7251920000000001	-0.205652	2.35486	-1.40419	2.1957400000000002	0.366117	2.15405	7.50403	4.17945	-0.0555622	669.857	4.09416	-0.0544284	662.988	0.026474900000000003	0.000351961	53.3139	0.0153679	0.000204303	40.619	img_SimpleFlight__0_1627900384802144600.png	2.0750556632646977	1.132054515343405
SimpleFlight	0.927	0.6913189999999999	1.73564	-30.7061	0.809266	0.0533905	-0.167713	-0.5604560000000001	1.6117700000000001	-3.7621800000000003	0.0592025	0.727147	0.824415	0.32033	3.3966	-0.991072	0.04002	0.587685	1.8560400000000001	5.47436	4.17945	-0.0555622	669.857	4.13748	-0.0550043	666.4860000000001	0.275773	0.00366617	172.06799999999998	0.21398699999999998	0.00284478	151.571	img_SimpleFlight__0_1627900384887666100.png	1.7845298647200436	1.087497862575157
SimpleFlight	1.005	0.8279540000000001	1.43998	-30.7022	0.823931	0.0903748	-0.156999	-0.536957	1.89864	-3.80769	0.0331857	0.612041	0.83045	0.719326	3.93548	-0.150316	-0.680454	-4.6127199999999995	-3.19727	4.784619999999999	4.17945	-0.0555622	669.857	4.15405	-0.0552246	667.819	1.25039	0.016622799999999997	366.39099999999996	1.2255	0.016291999999999997	362.727	img_SimpleFlight__0_1627900384972629300.png	1.500501544373281	1.0297030757198677
SimpleFlight	1.083	0.9884	1.14335	-30.7022	0.8444280000000001	0.115673	-0.146793	-0.500526	2.23271	-3.78577	-0.047106699999999994	0.36130100000000004	0.615743	1.0787200000000001	4.29447	0.663221	-1.3291600000000001	-3.50777	-2.7259599999999997	4.10021	4.15681	-0.055261199999999996	668.041	4.1794400000000005	-0.055562099999999996	669.857	1.5227	0.020243	404.325	1.72879	0.0229828	430.81800000000004	img_SimpleFlight__0_1627900385058244300.png	1.217374403741173	0.9593976477627288
SimpleFlight	1.167	1.19026	0.828277	-30.7112	0.870914	0.12906700000000002	-0.139533	-0.453191	2.58927	-3.70421	-0.17984	0.22708000000000003	0.491233	1.38331	4.4921	1.33191	-1.95786	-1.66108	-1.44875	3.43005	4.149380000000001	-0.0551624	667.443	4.17945	-0.0555622	669.857	2.0192200000000002	0.026843799999999998	465.602	2.0752099999999998	0.0275882	472.01300000000003	img_SimpleFlight__0_1627900385144153800.png	0.9191104217134974	0.8821970677404988
SimpleFlight	1.248	1.4148399999999999	0.5332399999999999	-30.7328	0.898429	0.135074	-0.134776	-0.395495	2.95675	-3.5728800000000005	-0.362446	0.154981	0.41573999999999994	1.63544	4.557980000000001	1.89345	-2.5301099999999996	-0.617486	-0.728733	2.81993	4.154	-0.055224	667.815	4.17945	-0.0555622	669.857	2.39188	0.031798	506.749	2.4283799999999998	0.0322832	510.6	img_SimpleFlight__0_1627900385227235300.png	0.6426032660394353	0.8009388856522466
SimpleFlight	1.329	1.66894	0.250427	-30.7701	0.9254370000000001	0.13622599999999999	-0.13204200000000002	-0.32798299999999997	3.3065	-3.40849	-0.537367	0.114344	0.364723	1.8620400000000001	3.7080699999999998	1.96596	-0.7794800000000001	-0.338133	-0.48406899999999997	2.5706599999999997	4.15031	-0.0551748	667.518	4.17945	-0.0555622	669.857	2.62058	0.0348384	530.422	2.62921	0.0349531	531.295	img_SimpleFlight__0_1627900385312315300.png	0.14216572090007093	0.5649659534466882
SimpleFlight	1.407	1.93692	-0.00974591	-30.8116	0.948839	0.133304	-0.13086099999999998	-0.254576	3.5529800000000002	-3.26484	-0.49913599999999997	0.0639299	0.319718	1.99983	2.7861700000000003	1.77643	1.29139	-0.123252	-0.351951	0.332106	3.32051	-0.0441433	597.07	3.34404	-0.044456199999999994	599.182	2.03567	0.0270625	467.495	2.05029	0.0272569	469.171	img_SimpleFlight__0_1627900385396326400.png	0.048259902280153456	0.5075410738115659
SimpleFlight	1.485	2.22213	-0.259009	-30.8459	0.9668190000000001	0.127702	-0.129917	-0.179096	3.7557699999999996	-3.12613	-0.376333	0.0340864	0.293119	1.9046	2.45491	1.79384	1.7378900000000002	-1.11358	-0.37554299999999996	-2.63852	2.1335	-0.0283631	478.596	2.15568	-0.0286579	481.077	2.43758	0.032405500000000004	511.56699999999995	2.436	0.0323846	511.402	img_SimpleFlight__0_1627900385481739400.png	0.22405488103619037	0.4585405528055074
SimpleFlight	1.566	2.53418	-0.5062840000000001	-30.8706	0.978477	0.120978	-0.127751	-0.107828	3.94622	-2.97852	-0.233346	0.0111308	0.27763499999999997	1.6066200000000002	2.25637	1.8499700000000001	1.76217	-0.5741109999999999	-0.149922	-4.60542	1.2961	-0.0172306	373.029	1.3073299999999999	-0.0173798	374.64099999999996	3.0935	0.0411255	576.3	3.0952900000000003	0.0411492	576.466	img_SimpleFlight__0_1627900385564642300.png	0.39165102731129003	0.4109325668774766
